xpathparser:0,xpathparser:1,xpathparser:2,xpathparser:4,xpathparser:5,xpathparser:6,xpathparser:7,xpathparser:8,xpathparser:9
0,CW,toilet,Junction of Shing Wong Street and Wah Hing Lane,N/A,N/A,N/A,N/A,"22.283733,114.151492",0
1,E,toilet,Opposite to New World Bus Depot Sheung On Street,N/A,N/A,N/A,N/A,"22.27220,114.24361",0
2,E,toilet,No. 28 Tung Hei Road,N/A,N/A,N/A,N/A,"22.281325,114.230214",0
3,Wch,toilet,Hing Fat Street near the Entrance of Victoria Park,N/A,N/A,N/A,N/A,"22.282368,114.191001",0
4,Wch,toilet,No. 15 Wing Hing Street,N/A,N/A,N/A,N/A,"22.285273,114.191676",0
5,E,toilet,At side of No. 3 Oil Street,N/A,N/A,N/A,N/A,"22.288196,114.193093",0
6,E,toilet,Ning Foo Street near Bus Terminus,N/A,N/A,N/A,N/A,"22.264876,114.237199",0
7,E,toilet,Junction of Kam Wa Street and Wang Wa Street,N/A,N/A,N/A,N/A,"22.277604,114.230554",0
8,E,toilet,Junction of A Kung Ngam Village Road and Tung Wong Road,N/A,N/A,N/A,N/A,"22.282208,114.232496",0
9,E,toilet,No. 81 Nam On Street,N/A,N/A,N/A,N/A,"22.279074,114.226717",0
10,E,toilet,Junction of Hoi Ning Street and Hing Man Street,N/A,N/A,N/A,N/A,"22.281421,114.223226",0
11,E,toilet,No. 38 Quarry Bay Street,N/A,N/A,N/A,N/A,"22.283692,114.211811",0
12,E,toilet,Junction of Pak Fuk Road and Healthy Street Central,N/A,N/A,N/A,N/A,"22.291136,114.205547",0
13,E,toilet,Java Road outside North Point Vehicular Ferry Pier,N/A,N/A,N/A,N/A,"22.293075,114.203447",0
14,E,toilet,Junction of Tong Shui Road and Chun Yeung Street,N/A,N/A,N/A,N/A,"22.29197,114.19864",0
15,Wch,toilet,"Lily Street, Lin Fa Kung, Tai Hang",N/A,N/A,N/A,N/A,"22.2792,114.1928",0
16,Wch,toilet,Bowen Road near Wan Chai Gap Road,N/A,N/A,N/A,N/A,"22.270340,114.17154",0
17,Wch,toilet,Junction of Sing Woo Road and Yik Yam Street,N/A,N/A,N/A,N/A,"22.269382,114.18519",0
18,Wch,toilet,Junction of Tai Hang Road and Lai Tak Tsuen Road,N/A,N/A,N/A,N/A,"22.276699,114.19488",0
19,Wch,toilet,No. 258 Queen???s Road East,N/A,N/A,N/A,N/A,"22.275004,114.17383",0
20,Wch,toilet,Junction of Warren Street and Shepherd Street,N/A,N/A,N/A,N/A,"22.278300,114.19175",0
21,Wch,toilet,Tung Lo Wan Drive (At side of Bus Terminus),N/A,N/A,N/A,N/A,"22.278955,114.18993",0
22,Wch,toilet,Opposite to 95 Wong Nai Chung Road,N/A,N/A,N/A,N/A,"22.274314,114.18326",0
23,Wch,toilet,Morrison Hill Road near Sports Road,N/A,N/A,N/A,N/A,"22.274882,114.17999",0
24,Wch,toilet,Junction of Canal Road and Lockhart Road (next to Wan Chai Fire Station),N/A,N/A,N/A,N/A,"22.280177,114.18091",0
25,Wch,toilet,Junction of Cross Lane and Bullock Lane,N/A,N/A,N/A,N/A,"22.276349,114.17602",0
26,Wch,toilet,"G/F, Southorn Centre, 130 Hennessy Road",N/A,N/A,N/A,N/A,"22.277268,114.17266",0
27,Wch,toilet,Junction of Kat On Street and Kennedy Street,N/A,N/A,N/A,N/A,"22.273225,114.174467",0
28,Wch,toilet,Expo Drive East (next to Golden Bauhinia Square),N/A,N/A,N/A,N/A,"22.284493,114.17450",0
29,Wch,cemetery,Wong Nai Chung Road,N/A,N/A,N/A,From 1/4 to 30/9 (07:00 - 19:00 hrs)\nFrom 1/10 to 31/3 (07:00 - 18:00 hrs),"22.27158,114.17949",0
30,Wch,cemetery,"Broadwood Road, So Kon Po, HK",N/A,N/A,N/A,06:30 - 19:30 hrs,"22.270256,114.188256",0
